CancerType,MetricIndex,Year,All Races Rate,White Rate,Black Rate,Asian/Pacific Islander Rate,Hispanic Rate,American Indian/Alaska Native Rate
2,1,1999,135.1,138.1,117.3,86.8,99,76
2,1,2000,132.9,135.9,114.9,83.7,99.7,70.7
2,1,2001,132.3,135.5,114.5,85.4,96.1,74.1
2,1,2002,129.3,131.7,116.6,86.4,96.1,74.8
2,1,2003,122.5,124.3,114.8,81.2,91.8,72.8
2,1,2004,121.1,122.8,115,82.9,90.6,68.6
2,1,2005,120.8,122.6,114.5,82.8,94.4,68.7
2,1,2006,121.6,123.3,116.7,82.3,92.9,69.2
2,1,2007,123.2,124.5,120,84.4,92.6,73.8
2,1,2008,124.3,125.6,121,87.7,94.2,68.6
2,1,2009,124.3,125.6,121,87.7,94.2,68.6
2,1,2010,121.2,122.1,120.7,88.3,89.1,66
2,1,2011,123.5,124.4,123.6,89.6,93.2,73
2,1,2012,123.1,124.1,121.3,89.9,91.4,69.4
2,1,2013,123.7,124.4,122.9,91.1,92.5,72.3
2,2,1999,26.6,26,35.2,12.7,16.6,15.6
2,2,2000,26.6,26.2,34.4,12.1,16.8,13.7
2,2,2001,26,25.4,34.5,12.9,16.5,12.2
2,2,2002,25.6,25,34.1,12.9,15.8,14.2
2,2,2003,25.3,24.7,34.1,12.6,16.3,14.9
2,2,2004,24.5,23.9,32.3,12.7,16,15.4
2,2,2005,24.1,23.5,32.8,12.3,15.4,15.6
2,2,2006,23.6,23,31.6,12.1,15.4,13
2,2,2007,23,22.4,31.4,11.1,14.9,13.1
2,2,2008,22.6,22,31,11.5,14.6,12.7
2,2,2009,22.6,22,31,11.5,14.6,12.7
2,2,2010,21.9,21.3,30.2,11.7,14.3,11.4
2,2,2011,21.5,20.9,30.2,11.2,14.1,11
2,2,2012,21.3,20.7,29.4,11.2,14.6,10.8
2,2,2013,20.7,20.3,28.2,11,14.5,10.1
2,3,1999,187961,165628,16274,4156,9755,680
2,3,2000,187771,165012,16368,4279,10454,697
2,3,2001,192490,168840,16912,4614,10665,785
2,3,2002,190899,166379,17448,4936,11114,813
2,3,2003,194943,167773,19707,5068,11398,857
2,3,2004,195917,167999,20249,5442,11893,853
2,3,2005,198896,170148,20631,5719,12920,871
2,3,2006,203372,173228,21610,5982,13391,919
2,3,2007,209684,177642,22736,6392,14059,1052
2,3,2008,215134,181837,23460,6969,14948,1004
2,3,2009,215134,181837,23460,6969,14948,1004
2,3,2010,217138,181897,24634,7681,15484,1064
2,3,2011,222897,186101,25716,8021,16701,1198
2,3,2012,225974,188222,25921,8427,17140,1170
2,3,2013,230815,191077,26854,8914,18066,1272
2,4,1999,41144,35073,5358,583,1538,130
2,4,2000,41872,35767,5361,614,1670,130
2,4,2001,41394,35078,5506,684,1746,126
2,4,2002,41514,35082,5572,712,1724,148
2,4,2003,41619,35032,5695,745,1884,147
2,4,2004,40954,34458,5541,786,1909,169
2,4,2005,41116,34352,5802,796,1936,166
2,4,2006,40820,34137,5694,829,2054,160
2,4,2007,40598,33845,5798,787,2076,168
2,4,2008,40589,33705,5851,863,2140,170
2,4,2009,40589,33705,5851,863,2140,170
2,4,2010,40996,33834,6031,961,2295,170
2,4,2011,40931,33598,6192,977,2369,164
2,4,2012,41150,33760,6186,1032,2613,172
2,4,2013,40860,33560,6086,1048,2671,166
3,1,1999,169.8,162.4,255.2,95.3,149.8,105.6
3,1,2000,172.1,164.3,264.1,94.3,151.6,92.2
3,1,2001,174.1,166.3,262.5,97.3,148.8,95.5
3,1,2002,172,164.3,258.8,95,154.2,106
3,1,2003,156.8,148.2,241.4,89.4,142.9,95.2
3,1,2004,152.5,143.9,235.5,88.4,137.4,96.3
3,1,2005,150,141.6,230.1,80.6,131.7,86.3
3,1,2006,159.5,151.2,234.1,84.2,135,87.6
3,1,2007,164,154.4,241.9,85.7,137.1,89.9
3,1,2008,151.1,141.6,228.8,76.9,132.1,83.5
3,1,2009,142.8,132.4,225.4,74.1,126.1,80.6
3,1,2010,133.6,123.3,208.4,68.5,113.8,73.3
3,1,2011,132.7,122.4,205.3,70.1,108.4,67.1
3,1,2012,108.4,98.9,175.8,55.3,92.7,58.7
3,1,2013,101.6,92.5,164.4,52.5,86.8,54
4,1,1999,70.8,71.1,77.5,39.2,41.3,47.5
4,1,2000,70.2,70.7,74.8,40.2,38.8,45.7
4,1,2001,70.3,70.8,75.2,38.9,39.4,48.2
4,1,2002,70.1,70.6,74.8,38.6,39,47.8
4,1,2003,70.2,70.7,74.9,39,38.6,47.1
4,1,2004,69.4,70,74,38.2,38.6,50
4,1,2005,69.7,70.3,73.5,38.5,37.2,49.2
4,1,2006,68.8,69.6,71.6,37.6,36.3,48
4,1,2007,67.9,68.7,70.8,37.8,36.7,47.9
4,1,2008,67.3,68.2,69.6,37.2,35.9,49.7
4,1,2009,66,66.7,69.4,37.6,34.9,45.1
4,1,2010,63.7,64.4,67.4,36.5,33.3,46.9
4,1,2011,62.3,63.1,65.5,35.6,32.9,44.6
4,1,2012,61.2,62,64.4,35.3,31.4,41.6
4,1,2013,59.4,60.1,61.2,35,31.3,41.5
3,2,1999,31.6,28.9,70.1,14.1,23.4,17.5
3,2,2000,30.4,27.8,68.9,12.6,21.8,20.3
3,2,2001,29.5,27,67.8,11.9,24.1,20.7
3,2,2002,28.7,26.4,65,10.7,23.2,17.4
3,2,2003,27.2,25,60.4,11.6,21.9,20.9
3,2,2004,26.2,24,59,12.2,21.1,19
3,2,2005,25.4,23.3,57,11.2,20.9,21.2
