Year,American Indian/Alaska Native Rate,Asian/Pacific Islander Rate,Black Rate,Hispanic Rate,White Rate,All Races Rate
1999,680,4156,16274,9755,165628,187961
2000,697,4279,16368,10454,165012,187771
2001,785,4614,16912,10665,168840,192490
2002,813,4936,17448,11114,166379,190899
2003,857,5068,19707,11398,167773,194943
2004,853,5442,20249,11893,167999,195917
2005,871,5719,20631,12920,170148,198896
2006,919,5982,21610,13391,173228,203372
2007,1052,6392,22736,14059,177642,209684
2008,1004,6969,23460,14948,181837,215134
2009,1004,6969,23460,14948,181837,215134
2010,1064,7681,24634,15484,181897,217138
2011,1198,8021,25716,16701,186101,222897
2012,1170,8427,25921,17140,188222,225974
2013,1272,8914,26854,18066,191077,230815
