A1,A5,A3,A2,A4
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,1,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,1,0,0
1987,0,1,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,0,0,0
1997,0,1,0,0
1998,0,2,0,0
1999,0,0,0,0
2000,0,2,0,0
2001,0,0,0,0
2002,0,0,0,0
2003,0,4,0,0
2004,0,18,1,0
2005,0,13,0,0
2006,0,22,0,0
2007,0,21,2,0
2008,0,41,1,1
2009,0,44,7,1
2010,0,67,6,3
2011,0,82,12,2
2012,0,113,10,0
2013,0,150,19,3
2014,0,109,10,4
2015,0,127,23,7
2016,0,140,19,3
