Var1,Var2,Var3,Var4,Var5,Var6,Var7
Year,All,White,Black,Asian,Hispanic,Native American
1999,152061,133673,15953,3543,1938,497
2000,155426,136833,16053,3637,2060,480
2001,155969,137205,16002,3812,2215,547
2002,157630,138590,16306,4037,2178,556
2003,157990,138654,16367,4136,2413,556
2004,158006,138352,16462,4210,2516,676
2005,159217,139380,16555,4485,2609,673
2006,158599,138758,16485,4354,2721,635
2007,158683,138662,16485,4617,2841,695
2008,158592,138666,16238,4802,2958,730
2009,158081,138046,16325,4777,3024,686
2010,158248,137638,16681,4950,3144,785
2011,156953,136293,16586,5088,3331,743
2012,157423,136406,16780,5225,3441,796
2013,156176,134977,16906,5353,3539,754
