Var1,Var2,Var3,Var4,Var5,Var6
Year,White,Black,Asian,Hispanic,Native American
1999,160267,17293,2728,620,6023
2000,161087,17103,3026,681,5986
2001,165582,17754,3090,747,6397
2002,167381,17838,3229,777,6614
2003,179414,20567,3567,832,6979
2004,180085,20827,3692,921,7251
2005,183629,21257,3937,958,7436
2006,184537,21276,4039,946,7624
2007,185448,21575,4261,987,8007
2008,187798,21808,4438,1102,8282
2009,187220,22551,4724,1075,8443
2010,184277,22478,4835,1158,8459
2011,182576,22421,4917,1115,8718
2012,183769,22854,5158,1134,8747
2013,182352,22489,5446,1175,9135
