A1,A3,A2,A4,A5
1970,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,0,0,0,0
1975,0,0,0,0
1976,0,1,0,0
1977,0,0,0,0
1978,0,2,0,0
1979,0,1,0,0
1980,0,1,0,0
1981,0,1,0,0
1982,3,1,0,0
1983,0,1,0,0
1984,0,3,0,0
1985,0,1,0,0
1986,2,1,0,0
1987,0,1,0,0
1988,0,3,0,0
1989,1,1,0,0
1990,0,3,0,0
1991,0,3,0,0
1992,1,4,0,0
1993,0,1,0,0
1994,0,0,0,0
1995,0,4,0,0
1996,1,3,0,0
1997,0,3,0,0
1998,2,3,0,0
1999,0,2,0,0
2000,2,4,0,0
2001,0,1,0,0
2002,1,2,0,0
2003,3,4,0,0
2004,5,6,0,0
2005,4,10,0,0
2006,8,18,0,0
2007,5,9,0,0
2008,11,13,0,0
2009,10,30,0,0
2010,15,26,0,0
2011,8,33,0,0
2012,15,45,0,0
2013,16,58,0,0
2014,7,45,0,0
2015,6,37,0,0
2016,4,67,0,0
