"2=Female Breast age adjusted,","Metric Index (1=Incidence Rate, 2=Death Rate, 3=Incidence Count, 4=Death Count)",Year,All Races Rate,White Rate,Black Rate,Asian/Pacific Islander Rate,American Indian/Alaska Native Rate,Hispanic Rate
2,1,1999,135.1,138.1,117.3,86.8,76,99
2,1,2000,132.9,135.9,114.9,83.7,70.7,99.7
2,1,2001,132.3,135.5,114.5,85.4,74.1,96.1
2,1,2002,129.3,131.7,116.6,86.4,74.8,96.1
2,1,2003,122.5,124.3,114.8,81.2,72.8,91.8
2,1,2004,121.1,122.8,115,82.9,68.6,90.6
2,1,2005,120.8,122.6,114.5,82.8,68.7,94.4
2,1,2006,121.6,123.3,116.7,82.3,69.2,92.9
2,1,2007,123.2,124.5,120,84.4,73.8,92.6
2,1,2008,124.3,125.6,121,87.7,68.6,94.2
2,1,2009,124.3,125.6,121,87.7,68.6,94.2
2,1,2010,121.2,122.1,120.7,88.3,66,89.1
2,1,2011,123.5,124.4,123.6,89.6,73,93.2
2,1,2012,123.1,124.1,121.3,89.9,69.4,91.4
2,1,2013,123.7,124.4,122.9,91.1,72.3,92.5
2,2,1999,26.6,26,35.2,12.7,15.6,16.6
2,2,2000,26.6,26.2,34.4,12.1,13.7,16.8
2,2,2001,26,25.4,34.5,12.9,12.2,16.5
2,2,2002,25.6,25,34.1,12.9,14.2,15.8
2,2,2003,25.3,24.7,34.1,12.6,14.9,16.3
2,2,2004,24.5,23.9,32.3,12.7,15.4,16
2,2,2005,24.1,23.5,32.8,12.3,15.6,15.4
2,2,2006,23.6,23,31.6,12.1,13,15.4
2,2,2007,23,22.4,31.4,11.1,13.1,14.9
2,2,2008,22.6,22,31,11.5,12.7,14.6
2,2,2009,22.6,22,31,11.5,12.7,14.6
2,2,2010,21.9,21.3,30.2,11.7,11.4,14.3
2,2,2011,21.5,20.9,30.2,11.2,11,14.1
2,2,2012,21.3,20.7,29.4,11.2,10.8,14.6
2,2,2013,20.7,20.3,28.2,11,10.1,14.5
2,3,1999,187961,165628,16274,4156,680,9755
2,3,2000,187771,165012,16368,4279,697,10454
2,3,2001,192490,168840,16912,4614,785,10665
2,3,2002,190899,166379,17448,4936,813,11114
2,3,2003,194943,167773,19707,5068,857,11398
2,3,2004,195917,167999,20249,5442,853,11893
2,3,2005,198896,170148,20631,5719,871,12920
2,3,2006,203372,173228,21610,5982,919,13391
2,3,2007,209684,177642,22736,6392,1052,14059
2,3,2008,215134,181837,23460,6969,1004,14948
2,3,2009,215134,181837,23460,6969,1004,14948
2,3,2010,217138,181897,24634,7681,1064,15484
2,3,2011,222897,186101,25716,8021,1198,16701
2,3,2012,225974,188222,25921,8427,1170,17140
2,3,2013,230815,191077,26854,8914,1272,18066
2,4,1999,41144,35073,5358,583,130,1538
2,4,2000,41872,35767,5361,614,130,1670
2,4,2001,41394,35078,5506,684,126,1746
2,4,2002,41514,35082,5572,712,148,1724
2,4,2003,41619,35032,5695,745,147,1884
2,4,2004,40954,34458,5541,786,169,1909
2,4,2005,41116,34352,5802,796,166,1936
2,4,2006,40820,34137,5694,829,160,2054
2,4,2007,40598,33845,5798,787,168,2076
2,4,2008,40589,33705,5851,863,170,2140
2,4,2009,40589,33705,5851,863,170,2140
2,4,2010,40996,33834,6031,961,170,2295
2,4,2011,40931,33598,6192,977,164,2369
2,4,2012,41150,33760,6186,1032,172,2613
2,4,2013,40860,33560,6086,1048,166,2671
3,1,1999,169.8,162.4,255.2,95.3,105.6,149.8
3,1,2000,172.1,164.3,264.1,94.3,92.2,151.6
3,1,2001,174.1,166.3,262.5,97.3,95.5,148.8
3,1,2002,172,164.3,258.8,95,106,154.2
3,1,2003,156.8,148.2,241.4,89.4,95.2,142.9
3,1,2004,152.5,143.9,235.5,88.4,96.3,137.4
3,1,2005,150,141.6,230.1,80.6,86.3,131.7
3,1,2006,159.5,151.2,234.1,84.2,87.6,135
3,1,2007,164,154.4,241.9,85.7,89.9,137.1
3,1,2008,151.1,141.6,228.8,76.9,83.5,132.1
3,1,2009,142.8,132.4,225.4,74.1,80.6,126.1
3,1,2010,133.6,123.3,208.4,68.5,73.3,113.8
3,1,2011,132.7,122.4,205.3,70.1,67.1,108.4
3,1,2012,108.4,98.9,175.8,55.3,58.7,92.7
3,1,2013,101.6,92.5,164.4,52.5,54,86.8
4,1,1999,70.8,71.1,77.5,39.2,47.5,41.3
4,1,2000,70.2,70.7,74.8,40.2,45.7,38.8
4,1,2001,70.3,70.8,75.2,38.9,48.2,39.4
4,1,2002,70.1,70.6,74.8,38.6,47.8,39
4,1,2003,70.2,70.7,74.9,39,47.1,38.6
4,1,2004,69.4,70,74,38.2,50,38.6
4,1,2005,69.7,70.3,73.5,38.5,49.2,37.2
4,1,2006,68.8,69.6,71.6,37.6,48,36.3
4,1,2007,67.9,68.7,70.8,37.8,47.9,36.7
4,1,2008,67.3,68.2,69.6,37.2,49.7,35.9
4,1,2009,66,66.7,69.4,37.6,45.1,34.9
4,1,2010,63.7,64.4,67.4,36.5,46.9,33.3
4,1,2011,62.3,63.1,65.5,35.6,44.6,32.9
4,1,2012,61.2,62,64.4,35.3,41.6,31.4
4,1,2013,59.4,60.1,61.2,35,41.5,31.3
3,2,1999,31.6,28.9,70.1,14.1,17.5,23.4
3,2,2000,30.4,27.8,68.9,12.6,20.3,21.8
3,2,2001,29.5,27,67.8,11.9,20.7,24.1
3,2,2002,28.7,26.4,65,10.7,17.4,23.2
3,2,2003,27.2,25,60.4,11.6,20.9,21.9
3,2,2004,26.2,24,59,12.2,19,21.1
3,2,2005,25.4,23.3,57,11.2,21.2,20.9
3,2,2006,24.2,22.3,53.7,10.4,17.2,20.6
3,2,2007,24.2,22.2,54.9,11.2,17.2,20
