Gen,Eth,Dis,year,pub count
1,1,1,2005,32
1,1,1,2006,2
1,1,2,2003,14
1,1,2,2005,6
1,1,2,2005,4
1,1,2,2006,196
1,1,2,2007,120
1,1,2,2008,354
1,1,2,2009,158
1,1,2,2010,152
1,1,2,2011,124
1,1,2,2012,3
1,1,2,2013,3
1,1,2,2014,4
1,1,4,2006,18
1,1,4,2011,5
1,1,4,2012,8
1,2,1,1968,5
1,2,1,1973,9
1,2,1,1975,3
1,2,1,1976,45
1,2,1,1977,12
1,2,1,1978,45
1,2,1,1979,7
1,2,1,1980,67
1,2,1,1981,58
1,2,1,1982,23
1,2,1,1983,25
1,2,1,1984,9
1,2,1,1985,136
1,2,1,1986,20
1,2,1,1987,27
1,2,1,1988,58
1,2,1,1989,26
1,2,1,1990,19
1,2,1,1991,44
1,2,1,1992,38
1,2,1,1993,103
1,2,1,1994,92
1,2,1,1995,127
1,2,1,1996,138
1,2,1,1997,115
1,2,1,1998,147
1,2,1,1999,113
1,2,1,2000,209
1,2,1,2001,281
1,2,1,2002,314
1,2,1,2003,234
1,2,1,2004,417
1,2,1,2005,516
1,2,1,2006,525
1,2,1,2007,761
1,2,1,2008,1084
1,2,1,2009,872
1,2,1,2010,1032
1,2,1,2011,500
1,2,1,2012,2
1,2,1,2013,9
1,2,1,2014,1
1,2,2,1979,5
1,2,2,1980,13
1,2,2,1981,4
1,2,2,1981,35
1,2,2,1982,4
1,2,2,1986,2
1,2,2,1987,4
1,2,2,1990,4
1,2,2,1994,1
1,2,2,1996,22
1,2,2,1998,118
1,2,2,1999,9
1,2,2,2000,33
1,2,2,2000,25
1,2,2,2001,59
1,2,2,2002,50
1,2,2,2003,39
1,2,2,2004,142
1,2,2,2005,156
1,2,2,2006,84
1,2,2,2007,313
1,2,2,2008,284
1,2,2,2009,58
1,2,2,2010,4
1,2,2,2011,6
1,2,2,2012,31
1,2,2,2013,10
1,2,2,2014,8
1,2,4,2001,10
1,2,4,2003,17
1,2,4,2008,9
1,2,4,2009,26
1,2,4,2010,1
1,2,4,2011,5
1,2,4,2012,1
1,2,4,2013,4
1,2,4,2014,7
1,2,4,2014,17
1,2,5,2000,20
1,2,5,2000,12
1,2,5,2010,8
1,2,5,2014,5
1,2,5,2014,4
