Var1,Var2,Var3,Var4,Var5,Var6
Year,White,Black,Asian,Hispanic,Native American
1999,26004,5357,304,1050,63
2000,25340,5346,300,1033,92
2001,25066,5265,296,1226,92
2002,24918,5145,298,1209,85
2003,24232,4894,328,1219,100
2004,23726,4815,362,1238,99
2005,23597,4823,372,1300,113
2006,23202,4698,368,1373,104
2007,23666,4908,414,1432,105
2008,23362,4587,389,1436,133
2009,22777,4794,406,1436,111
2010,23172,4853,418,1535,117
2011,22728,4658,455,1576,129
2012,22093,4595,429,1592,127
2013,22549,4528,473,1634,131
