Var1,Var2,Var3,Var4,Var5,Var6
Year,White,Black,Asian,Hispanic,Native American
1999,159815,22561,2814,578,9271
2000,164006,24067,2980,571,10011
2001,171158,24983,3310,653,10483
2002,172692,25088,3445,735,11488
2003,167726,27235,3497,730,11222
2004,166502,27524,3704,760,11496
2005,167476,27889,3598,756,11687
2006,183299,29711,3974,789,12704
2007,193090,31996,4354,860,13689
2008,182466,31744,4210,845,13999
2009,176335,32761,4264,885,14361
2010,168451,31705,4224,875,13723
2011,170310,32447,4509,828,13795
2012,142041,29007,3827,778,12529
2013,136604,28208,3853,762,12409
