,"Metric Index (1=Incidence Rate, 2=Death Rate, 3=Incidence Count, 4=Death Count)",Year,All Races Rate,White Rate,Black Rate,Asian/Pacific Islander Rate,American Indian/Alaska Native Rate,Hispanic Rate
0,1,1999,135.1,138.1,117.3,86.8,76.0,99.0
1,1,2000,132.9,135.9,114.9,83.7,70.7,99.7
2,1,2001,132.3,135.5,114.5,85.4,74.1,96.1
3,1,2002,129.3,131.7,116.6,86.4,74.8,96.1
4,1,2003,122.5,124.3,114.8,81.2,72.8,91.8
5,1,2004,121.1,122.8,115.0,82.9,68.6,90.6
6,1,2005,120.8,122.6,114.5,82.8,68.7,94.4
7,1,2006,121.6,123.3,116.7,82.3,69.2,92.9
8,1,2007,123.2,124.5,120.0,84.4,73.8,92.6
9,1,2008,124.3,125.6,121.0,87.7,68.6,94.2
10,1,2009,124.3,125.6,121.0,87.7,68.6,94.2
11,1,2010,121.2,122.1,120.7,88.3,66.0,89.1
12,1,2011,123.5,124.4,123.6,89.6,73.0,93.2
13,1,2012,123.1,124.1,121.3,89.9,69.4,91.4
14,1,2013,123.7,124.4,122.9,91.1,72.3,92.5
15,2,1999,26.6,26.0,35.2,12.7,15.6,16.6
16,2,2000,26.6,26.2,34.4,12.1,13.7,16.8
17,2,2001,26.0,25.4,34.5,12.9,12.2,16.5
18,2,2002,25.6,25.0,34.1,12.9,14.2,15.8
19,2,2003,25.3,24.7,34.1,12.6,14.9,16.3
20,2,2004,24.5,23.9,32.3,12.7,15.4,16.0
21,2,2005,24.1,23.5,32.8,12.3,15.6,15.4
22,2,2006,23.6,23.0,31.6,12.1,13.0,15.4
23,2,2007,23.0,22.4,31.4,11.1,13.1,14.9
24,2,2008,22.6,22.0,31.0,11.5,12.7,14.6
25,2,2009,22.6,22.0,31.0,11.5,12.7,14.6
26,2,2010,21.9,21.3,30.2,11.7,11.4,14.3
27,2,2011,21.5,20.9,30.2,11.2,11.0,14.1
28,2,2012,21.3,20.7,29.4,11.2,10.8,14.6
29,2,2013,20.7,20.3,28.2,11.0,10.1,14.5
30,3,1999,187961.0,165628.0,16274.0,4156.0,680.0,9755.0
31,3,2000,187771.0,165012.0,16368.0,4279.0,697.0,10454.0
32,3,2001,192490.0,168840.0,16912.0,4614.0,785.0,10665.0
33,3,2002,190899.0,166379.0,17448.0,4936.0,813.0,11114.0
34,3,2003,194943.0,167773.0,19707.0,5068.0,857.0,11398.0
35,3,2004,195917.0,167999.0,20249.0,5442.0,853.0,11893.0
36,3,2005,198896.0,170148.0,20631.0,5719.0,871.0,12920.0
37,3,2006,203372.0,173228.0,21610.0,5982.0,919.0,13391.0
38,3,2007,209684.0,177642.0,22736.0,6392.0,1052.0,14059.0
39,3,2008,215134.0,181837.0,23460.0,6969.0,1004.0,14948.0
40,3,2009,215134.0,181837.0,23460.0,6969.0,1004.0,14948.0
41,3,2010,217138.0,181897.0,24634.0,7681.0,1064.0,15484.0
42,3,2011,222897.0,186101.0,25716.0,8021.0,1198.0,16701.0
43,3,2012,225974.0,188222.0,25921.0,8427.0,1170.0,17140.0
44,3,2013,230815.0,191077.0,26854.0,8914.0,1272.0,18066.0
