Gen,Eth,Dis,year,count(*)
1,1,2,2003,32
1,1,2,2005,2
1,1,2,2006,14
1,1,2,2007,6
1,1,2,2008,4
1,1,2,2009,196
1,1,2,2010,120
1,1,2,2011,354
1,1,2,2012,158
1,1,2,2013,152
1,1,2,2014,124
1,1,4,2006,3
1,1,4,2011,3
1,1,4,2012,4
1,2,1,NULL,50
1,2,1,1968,18
1,2,1,1973,5
1,2,1,1975,8
1,2,1,1976,5
1,2,1,1977,9
1,2,1,1978,3
1,2,1,1979,45
1,2,1,1980,12
1,2,1,1981,45
1,2,1,1982,7
1,2,1,1983,67
1,2,1,1984,58
1,2,1,1985,23
1,2,1,1986,25
1,2,1,1987,9
1,2,1,1988,136
1,2,1,1989,20
1,2,1,1990,27
1,2,1,1991,58
1,2,1,1992,26
1,2,1,1993,19
1,2,1,1994,44
1,2,1,1995,38
1,2,1,1996,103
1,2,1,1997,92
1,2,1,1998,127
1,2,1,1999,138
1,2,1,2000,115
1,2,1,2001,147
1,2,1,2002,113
1,2,1,2003,209
1,2,1,2004,281
1,2,1,2005,314
1,2,1,2006,234
1,2,1,2007,417
1,2,1,2008,516
1,2,1,2009,525
1,2,1,2010,761
1,2,1,2011,1084
1,2,1,2012,872
1,2,1,2013,1032
1,2,1,2014,500
1,2,2,NULL,4
1,2,2,1979,2
1,2,2,1980,9
1,2,2,1981,1
1,2,2,1982,5
1,2,2,1986,13
1,2,2,1987,4
1,2,2,1990,35
1,2,2,1994,4
1,2,2,1996,2
1,2,2,1998,4
1,2,2,1999,4
1,2,2,2000,1
1,2,2,2001,22
1,2,2,2002,118
1,2,2,2003,9
1,2,2,2004,33
1,2,2,2005,25
1,2,2,2006,59
1,2,2,2007,50
1,2,2,2008,39
1,2,2,2009,142
1,2,2,2010,156
1,2,2,2011,84
1,2,2,2012,313
1,2,2,2013,284
1,2,2,2014,58
1,2,4,2001,4
1,2,4,2003,6
1,2,4,2008,31
1,2,4,2009,10
1,2,4,2010,8
1,2,4,2011,10
1,2,4,2012,17
1,2,4,2013,9
1,2,4,2014,26
1,2,5,2000,1
1,2,5,2010,5
1,2,5,2014,1
1,3,2,2002,4
1,3,2,2007,7
1,3,2,2008,17
1,3,2,2009,20
1,3,2,2010,12
1,3,2,2011,8
1,3,2,2012,5
1,3,2,2013,4
1,4,1,NULL,87
1,4,1,1964,3
1,4,1,1971,6
1,4,1,1973,3
1,4,1,1975,3
1,4,1,1976,4
1,4,1,1977,1
1,4,1,1978,1
1,4,1,1980,1
1,4,1,1981,3
1,4,1,1982,3
1,4,1,1983,22
1,4,1,1984,16
1,4,1,1985,25
1,4,1,1986,14
1,4,1,1987,22
1,4,1,1988,35
1,4,1,1989,13
1,4,1,1990,16
1,4,1,1991,20
1,4,1,1992,126
1,4,1,1993,16
1,4,1,1994,62
1,4,1,1995,70
1,4,1,1996,98
1,4,1,1997,76
1,4,1,1998,209
1,4,1,1999,180
1,4,1,2000,129
1,4,1,2001,112
1,4,1,2002,273
1,4,1,2003,310
1,4,1,2004,380
1,4,1,2005,479
1,4,1,2006,520
1,4,1,2007,559
1,4,1,2008,491
1,4,1,2009,797
1,4,1,2010,1428
1,4,1,2011,1416
1,4,1,2012,2348
1,4,1,2013,2805
1,4,1,2014,620
1,4,2,NULL,2318
1,4,2,1977,64
1,4,2,1978,57
1,4,2,1979,134
1,4,2,1980,320
1,4,2,1981,112
1,4,2,1982,219
1,4,2,1983,152
1,4,2,1984,364
1,4,2,1985,503
1,4,2,1986,524
1,4,2,1987,756
1,4,2,1988,915
1,4,2,1989,1180
1,4,2,1990,1674
1,4,2,1991,1839
1,4,2,1992,2200
1,4,2,1993,2417
1,4,2,1994,1963
1,4,2,1995,2597
1,4,2,1996,2934
1,4,2,1997,1895
1,4,2,1998,2758
1,4,2,1999,2800
1,4,2,2000,2654
1,4,2,2001,3406
1,4,2,2002,4665
1,4,2,2003,4653
1,4,2,2004,5798
1,4,2,2005,6976
1,4,2,2006,8047
1,4,2,2007,9492
1,4,2,2008,10965
1,4,2,2009,10664
1,4,2,2010,14977
1,4,2,2011,17242
1,4,2,2012,20328
1,4,2,2013,24126
1,4,2,2014,9705
1,4,4,1992,4
1,4,4,1994,7
1,4,4,1998,1
1,4,4,2004,2
1,4,4,2005,2
1,4,4,2012,11
1,4,4,2013,41
1,4,5,NULL,11
1,4,5,1969,1
1,4,5,1976,1
1,4,5,1977,1
1,4,5,1982,4
1,4,5,1983,2
1,4,5,1984,4
1,4,5,1985,5
1,4,5,1986,3
1,4,5,1987,2
1,4,5,1988,8
1,4,5,1989,15
1,4,5,1990,35
1,4,5,1991,37
1,4,5,1992,29
1,4,5,1993,32
1,4,5,1994,26
1,4,5,1995,167
1,4,5,1996,53
1,4,5,1997,51
1,4,5,1998,68
1,4,5,1999,306
1,4,5,2000,161
1,4,5,2001,152
1,4,5,2002,216
1,4,5,2003,156
1,4,5,2004,112
1,4,5,2005,173
1,4,5,2006,155
1,4,5,2007,216
1,4,5,2008,162
1,4,5,2009,217
1,4,5,2010,241
1,4,5,2011,264
1,4,5,2012,252
1,4,5,2013,429
1,4,5,2014,77
1,5,1,NULL,36
1,5,1,1972,5
1,5,1,1975,1
1,5,1,1978,8
1,5,1,1979,3
1,5,1,1980,1
1,5,1,1981,2
1,5,1,1982,1
1,5,1,1983,5
