cell_number,count(*)
1301,586
1321 N 1,45
1321N1,10
1411 H,2
1411H,1
22 Rv 1,2318
22Rv1,128
600 MPE,16
600MPE,3
7 E 11 C 5,147
7E11C5,1
833 KE,7
833KE,2
8505 C,8
8505C,4
A 172,327
A 2058,162
A 2780,946
A 2780 cis,10
A 375,612
A 375 C 5,2
A 375 C 6,6
A 431,1656
A 549,13783
A 673,92
A172,86
A2058,32
A2780,156
A375,114
A431,412
A549,2147
A673,17
ACHN,227
AGS,584
ALVA 101,87
ALVA 31,275
ALVA 41,112
ALVA101,2
ARCaP,194
ARH 77,103
ARH-77,9
AsPC 1,321
AsPC-1,19
AT 3 B 1,45
AT3B 1,3
AU 565,464
AU565,19
AV 3,24
AV3,8
BE (2) C,99
BE (2) M 17,11
BeWo,180
BICR 3,12
BICR 56,12
BICR 6,5
BICR3,2
BICR56,2
BICR6,1
Bob,633
BT 20,3488
BT 474,6006
BT 483,247
BT 549,2219
BT474,228
BT483,9
BT549,102
BxPC 3,536
BxPC-3,46
C 16,458
C 170,10
C 32,90
C 32 TG,8
C 4,2264
C 4 2,2853
C 4 2 B,1595
C 4 I,2
C 4 II,2
C 8166,8
C16,107
C170,4
C32,29
C32TG,2
C4,468
C4 2,139
C4 2B,92
C8166,4
CA 46,58
CA HPV 10,243
Ca Ski,225
CA46,3
CACO 2,39
CACO-2,5
CAKI 2,6
CAKI-2,2
CALU 1,35
CALU-1,1
CaSki,12
CCF STTG 1,70
CCF STTG1,1
CCF-STTG1,3
CCRF CEM,318
CCRF HSB 2,15
CCRF-CEM,36
CCRF-HSB-2,2
CCRFCEM,1
CFPAC 1,74
CFPAC-1,6
CHP 100,7
CHP 134,18
CHP134,1
Colo,261
COLO 201,7
COLO 205,73
COLO 206 F,2
COLO 320 DM,14
COLO 679,2
COLO-206F,1
COLO205,3
COLO320DM,7
COR L 23,15
COR L 23/R,4
COR L 24,4
COR L 47,3
COR L 88,12
COR L23,22
COV 434,2
DAUDI,44
DBTRG 05 MG,22
DBTRG.05MG,2
Detroit 562,32
DLD 1,816
DLD-1,56
DMS 273,21
DMS 454,4
DMS 53,107
DMS 79,6
DU 145,24065
EB 3,262
EB3,86
ECV 304,201
ECV304,25
EJ 138,14
Embryonic Stem cell,14
EMT 6,592
EMT6,87
EoL 1,7
EoL-1,2
Evsa T,89
F 36 P,55
F 36P,5
F-36P,8
FL,15064
FLYA 13,6
FLYA13,4
FLYRD 18,36
FLYRD18,16
FTC 133,10
FTC 236,4
FTC 238,3
FTC-133,1
G 361,95
G 401,56
G-361,4
G361,10
GR M,67
GRM,18
H 103,6
H 157,431
H 357,83
H 376,3
H 400,4
H 69,453
H EMC SS,2
H157,110
H357,6
H376,2
H69,167
HCA 2,37
HCA 7,27
HCA-7,1
HCA-7 Colony 29,1
HCA2,8
HCC 1008,12
HCC 1143,163
HCC 1187,115
HCC 1395,100
HCC 1419,104
HCC 1428,125
HCC 1500,188
HCC 1569,151
HCC 1599,105
HCC 1806,305
HCC 1937,1241
HCC 1954,660
HCC 202,110
HCC 2157,55
HCC 2218,96
HCC 38,181
HCC 70,183
HCC1008,2
HCC1143,17
HCC1187,7
HCC1395,12
HCC1419,10
HCC1428,9
HCC1500,16
HCC1569,10
HCC1599,6
HCC1806,15
HCC1937,76
HCC1954,28
HCC202,8
HCC2157,6
HCC2218,7
HCC38,25
HCC70,19
HCT 116,3494
HCT 15,341
HCT 8,213
HCT-116,33
HCT-15,33
HCT116,233
HCT8,21
HeLa,12851
HeLa 229,1
HeLa B,1
HeLa S 3,20
HeLa S3,86
HeLa229,2
Hep 2,182
Hep G 2,4192
Hep G2,462
Hep2,15
HepG 2,757
HepG2,513
HEPM,11
HGC 27,64
HGC-27,4
HL 60,4223
HL60,480
HMVII,3
HR 5,32
HR5,8
HRA 19 a 1 1,4
HRA-19a1.1,3
Hs 578 T,2189
Hs 578T,189
HS Sultan,25
HS-Sultan,3
Hs578T,199
HSG,160
HT 1080,1239
HT 115,66
HT 1197,52
HT 1376,50
HT 29,3791
HT 55,2
HT1080,216
HT115,30
HT1197,5
HT1376,10
HT29,347
HUT 78,40
HUT-78,5
HUT78,11
IMR 32,220
IMR-32,46
IMR32,5
IOWA 1 T,8
IOWA 1T,1
Ishikawa,2423
J 45 01,28
J45.01,5
JEG 3,435
JEG3,22
JIII,2
JIYOYE,5
JU 77,3
JU77,1
Jurkat E6.1,4
JVM 2,7
JVM-2,1
K 1,915
K 562,5655
K1,240
K562,1258
KARPAS 422,2
KATO III,121
KB,4053
KELLY,128
KG 1,547
KG 1 a,888
KG-1,93
KG1,4
KG1a,110
KU 812,47
KU 812 F,2
KU812,20
KU812F,2
KYSE 150,9
KYSE 30,14
KYSE 410,6
KYSE 70,10
KYSE150,3
KYSE30,1
L 132,29
L 41,22
L132,10
LA N 1,28
LA-N-1,2
LACP 4,7
LAPC 3,14
LAPC 4,1340
LAPC3,1
LAPC4,57
LC 2/ad,14
LIM 1215,18
LIM1215,7
LNCaP,46980
LNCaP C 4,3
LNCaP C4,4
LNCaP FGC,115
LNCaP LN 3,21
LO 68,3
LO68,1
LoVo,631
LS 174 T,465
LS 180,39
LS174T,77
LS180,9
LUDLU 1,65
MB 157,25
MC 116,2
MCC 13,2
MCC13,1
MCF 7,124848
MCF7,1933
MDA MB 134 VI,66
MDA MB 157,595
MDA MB 175 VII,85
MDA MB 231,50273
MDA MB 330,25
MDA MB 435 S,702
MDA MB 435S,67
MDA MB 453,2579
MDA PCa 2 a,22
MDA PCa 2 b,159
MDA PCa 2a,31
