,count(*)
1,8228
2,688
3,6
4,771
5,2
6,3
7,14
8,30
9,723
10,39
11,16
12,1360
13,1154
14,3038
15,26
16,24
17,5075
18,14
19,11509
20,33036
21,909
22,194
23,2144
24,4340
25,1
26,56
27,32
28,2
29,657
30,1130
31,13
32,246
33,166
34,208
35,150
36,415
37,2
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1038
49,2044
50,5017
51,585
52,1640
53,3184
54,25865
55,566
56,3005
57,8
58,74974
59,1639
60,226
61,50
62,17
63,430
64,383
65,21
66,767
67,374
68,26
69,112
70,124
71,3857
72,120
73,86
74,50
75,20
76,636
77,35
78,14
79,52
80,112
81,8930
82,55
83,782
84,39
85,44
86,1
87,12
88,2
89,14
90,3
91,2
92,65
93,13
94,14
95,12
96,18
97,1
98,27
99,1
100,152
101,113
102,24
103,66
104,2647
105,108
106,30
107,91
108,107
109,12454
110,506
111,797
112,21
113,978
114,31
115,4
116,2
117,31515
118,132
119,40
120,18
121,72
122,1
123,14
124,1443
125,170
126,77
127,3
128,7
129,280
130,250
131,367
132,46
133,14
134,35
135,54
136,69
137,44
138,753
139,2
140,77
141,5
142,56
143,13
144,100
145,51
146,31
147,29
148,33
149,44
150,84
151,48
152,35
153,235
154,279
155,42
156,10
157,30
158,106
159,57
160,14279
161,2199
162,857
163,126
164,73564
165,39
166,25
167,12
168,489
169,1505
170,5
171,21663
172,21260
173,101
174,24
175,22644
176,7
177,516
178,6
179,19
180,1116
181,2
182,116
183,3345
184,7550
185,207
186,211
187,476
188,18564
189,43
190,60
191,5
192,711
193,7
194,2688
195,110
196,9081
197,29
198,725
199,2
200,26
201,21
202,2
203,27
204,52
205,18414
206,18747
207,2
208,51
209,2
210,239
211,12286
212,83
213,2119
214,919
215,799
216,4
217,62
218,3
219,21
220,6
221,18
222,297
223,1098
224,82
225,404
226,178
227,41
228,166
229,3533
230,17
231,152
232,20023
233,4
234,153
235,1568
236,82
237,2485
238,656
239,1
240,2
241,5
242,143
243,8
244,8
245,43227
246,31
247,292
248,107
249,15559
250,43
251,772
252,1910
253,1
254,34
255,12
256,332
257,2
258,2
259,2
260,1294
261,295
262,21
263,1
264,33
265,68
266,17
267,25
268,508
269,320
270,960
271,6
272,6
273,4
274,2
275,44
276,9
277,394
278,3205
279,2581
280,14
281,32
282,2314
283,2644
284,28
285,2169
286,75
287,592
288,47
289,14
290,14
291,14
292,27
293,32
294,556
295,47
296,51
297,34
298,63
299,359
300,6
301,45
302,97
303,139
304,62
305,1
306,73
307,5
308,293
309,26
310,41
311,2809
312,3045
313,164
314,28820
315,9
316,45
317,47
318,210
319,2
320,308
321,35
322,359
323,36
324,603
325,271
326,2
327,1
328,30
329,118
330,5
331,921
332,620
333,298
334,13145
335,147
336,5
337,23
338,24
339,2
340,12
341,1993
342,289
343,9
344,727
345,309
346,70
347,214
348,4
349,4674
350,804
351,58
352,11
353,268
354,2
355,645
356,612
357,395
358,403
359,158
360,2000
361,1483
362,7933
363,11
364,211
365,6
366,239
367,45
368,34
369,80
370,122
371,5502
372,4
373,19
374,217
375,22
376,10
377,605
378,537
379,132
380,206
381,227
382,396
383,6291
384,3572
385,186
386,224
387,402
388,52
389,9345
390,7
391,3004
392,1646
393,884
394,6065
395,16352
396,2
397,69
398,76
399,151
400,179
401,6
402,17330
403,123
404,640
405,6132
406,15311
407,68
408,40
409,76
410,72
411,12
412,1
413,14
414,15
415,119
416,6
417,683
418,22
419,8
420,15
421,4
422,753
423,23
424,1350
425,1152
426,3
427,298
428,347
429,42
430,5
431,5
432,84
433,58
434,749
435,2684
436,244
437,68
438,61
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
