	Area	All Races Population	White Population	Black Population	Asian/Pacific Islander Population	American Indian/Alaska Native Population	Hispanic Population
	United States	260,170,608	214,085,948	32,343,373	11,036,436	2,704,851	33,410,378
	United States (comparable to ICD-O-2)	260,170,608	214,085,948	32,343,373	11,036,436	2,704,851	33,410,378
	Northeast	53,343,775	44,129,786	6,764,575	2,236,541	212,873	5,116,937
	New England	13,837,653	12,550,249	842,640	393,683	51,081	842,445
	Connecticut	3,386,401	2,944,775	341,801	88,065	11,760	308,549
	Maine	1,266,808	1,241,976	7,545	9,712	7,575	8,716
	Massachusetts	6,317,345	5,632,754	416,891	247,991	19,709	415,172
	New Hampshire	1,222,014	1,192,000	10,565	16,125	3,324	19,396
	Rhode Island	1,040,402	945,387	62,303	26,477	6,235	85,733
	Vermont	604,683	593,357	3,535	5,313	2,478	4,879
	Middle Atlantic	39,506,122	31,579,537	5,921,935	1,842,858	161,792	4,274,492
	New Jersey	8,359,592	6,609,191	1,231,242	492,259	26,900	1,087,446
	New York	18,882,725	14,235,763	3,410,768	1,122,472	113,722	2,812,644
	Pennsylvania	12,263,805	10,734,583	1,279,925	228,127	21,170	374,402
	Midwest	63,349,649	55,020,920	6,697,205	1,251,503	380,021	2,932,489
	East North Central	44,969,225	38,269,637	5,566,485	924,863	208,240	2,356,819
	Illinois	12,359,020	9,951,765	1,923,260	444,409	39,586	1,468,062
	Indiana	6,044,969	5,439,927	525,171	62,772	17,099	196,995
	Michigan	9,897,116	8,186,898	1,455,082	183,623	71,513	307,670
	Detroit	4,044,440	2,888,591	1,032,078	105,479	18,292	114,694
	Ohio	11,335,454	9,816,458	1,347,742	141,748	29,506	205,258
	Wisconsin	5,332,666	4,874,589	315,230	92,311	50,536	178,834
	West North Central	18,380,424	16,751,283	1,130,720	326,640	171,781	575,670
	Iowa	2,917,634	2,806,468	65,291	37,343	8,532	71,985
	Kansas	2,678,338	2,435,163	164,954	49,690	28,531	174,731
	Minnesota	4,873,481	4,484,942	182,425	146,159	59,955	129,348
	Missouri	5,561,948	4,824,973	642,019	67,104	27,852	107,669
	Nebraska	1,704,764	1,594,738	72,024	22,594	15,408	85,234
	North Dakota	644,259	604,999	4,007	3,750	31,503	6,703
	South Dakota	0	0	0	0	0	0
	South	81,045,312	63,195,848	15,451,055	1,675,588	722,821	10,500,933
	South Atlantic	44,140,940	33,233,350	9,784,955	898,524	224,111	3,654,742
	Delaware	774,990	601,213	153,643	17,031	3,103	34,817
	District of Columbia	570,213	197,359	354,021	16,642	2,191	44,354
	Florida	15,759,421	12,978,723	2,419,083	300,702	60,913	2,560,195
	Georgia	8,045,965	5,503,608	2,343,624	177,250	21,483	380,298
	Atlanta	2,850,396	1,687,442	1,028,940	125,401	8,613	205,007
	Maryland	5,254,509	3,511,643	1,503,532	220,863	18,471	215,069
	North Carolina	7,949,361	5,970,867	1,758,625	118,068	101,801	327,050
	South Carolina	3,974,682	2,729,841	1,192,652	38,565	13,624	82,630
	Virginia	0	0	0	0	0	0
	West Virginia	1,811,799	1,740,096	59,775	9,403	2,525	10,329
	East South Central	8,448,194	6,888,143	1,466,317	64,151	29,583	115,293
	Alabama	4,430,141	3,211,308	1,162,673	33,494	22,666	65,183
	Kentucky	4,018,053	3,676,835	303,644	30,657	6,917	50,110
	Mississippi	0	0	0	0	0	0
	Tennessee	0	0	0	0	0	0
	West South Central	28,456,178	23,074,355	4,199,783	712,913	469,127	6,730,898
	Arkansas	0	0	0	0	0	0
	Louisiana	4,460,811	2,915,561	1,461,433	57,961	25,856	104,926
	Oklahoma	3,437,147	2,800,181	277,057	52,001	307,908	167,755
	Texas	20,558,220	17,358,613	2,461,293	602,951	135,363	6,458,217
	West	62,431,872	51,739,394	3,430,538	5,872,804	1,389,136	14,860,019
	Mountain	17,861,084	16,196,672	581,610	422,471	660,331	3,389,520
	Arizona	5,023,823	4,460,582	177,619	110,336	275,286	1,235,716
	Colorado	4,226,018	3,882,901	183,070	106,980	53,067	702,024
	Idaho	1,275,674	1,236,009	6,243	14,097	19,325	96,258
	Montana	897,507	830,780	3,110	5,013	58,604	16,561
	Nevada	1,934,718	1,657,752	143,853	102,327	30,786	364,458
	New Mexico	1,808,082	1,563,421	42,091	23,685	178,885	753,569
	Utah	2,203,482	2,092,488	21,374	56,931	32,689	190,588
	Wyoming	491,780	472,739	4,250	3,102	11,689	30,346
	Pacific	44,570,788	35,542,722	2,848,928	5,450,333	728,805	11,470,499
	Alaska	624,779	462,052	26,610	30,390	105,727	23,997
	California	33,499,204	26,492,434	2,502,469	4,051,272	453,029	10,682,606
	San Francisco-Oakland	4,089,620	2,764,649	434,314	858,192	32,465	714,413
	San Jose-Monterey	2,372,899	1,780,261	78,418	487,926	26,294	671,367
	Los Angeles	9,437,290	7,084,585	1,015,375	1,228,385	108,945	4,159,596
	Hawaii	1,210,300	295,373	31,161	879,089	4,677	84,133
	Oregon	3,393,941	3,154,256	66,369	117,978	55,338	258,885
	Washington	5,842,564	5,138,607	222,319	371,604	110,034	420,878
	Seattle-Puget Sound	4,010,302	3,414,640	196,144	331,121	68,397	202,602
