"Cancer Type (1=Undefined, 2=Breast, 3=Male Prostate, 4=Lung)","Gender Index (1=Female, 2=Male, 3=Unspecified)","Ethnicity Index (1=Asian, 2=Black, 3=Hispanic,4=Native American, 5=White, 6=Unspecified)","Contaminant Status Index(0=Uncontaminated, 1=Contaminated, Derivative Line, 3=Nomenclature, 4=Parental, 5=Unresolved)","Donor Age (Years, -10=Unspecified)",Founding Year of Cell Line (-10=Undefined)
1,1,1,0,62,-10
1,1,2,2,48,-10
1,1,2,2,48,-10
1,1,5,0,55,-10
1,1,6,0,-10,-10
1,1,5,2,4,-10
1,1,1,0,7,-10
1,1,1,0,55,-10
1,1,1,0,68,-10
1,1,1,0,52,-10
1,1,6,4,13,-10
1,1,6,0,64,-10
1,1,6,4,33,-10
1,1,6,0,10,-10
1,1,1,0,12,-10
1,1,1,0,7,-10
1,1,1,0,55,-10
1,1,6,1,4,-10
1,1,6,0,56,-10
1,1,5,0,39,-10
1,1,5,4,32,-10
1,1,5,4,4,-10
1,1,5,0,4,-10
1,1,5,2,4,-10
1,1,5,2,4,-10
1,1,6,0,38,-10
1,1,5,4,36,-10
1,1,6,0,36,-10
1,1,1,0,74,-10
1,1,1,0,64,-10
1,1,6,0,49,-10
1,1,5,0,20,-10
1,1,2,1,9,-10
1,1,2,1,9,-10
1,1,6,0,69,-10
1,1,6,0,58,-10
1,1,5,2,5,-10
1,1,5,2,5,-10
1,1,5,4,36,-10
1,1,5,0,-10,-10
1,1,5,0,67,-10
1,1,5,0,-10,-10
1,1,1,0,-10,-10
1,1,5,0,58,-10
1,1,6,0,17,-10
1,1,2,2,67,-10
1,1,5,0,52,-10
1,1,5,0,41,-10
1,1,5,0,43,-10
1,1,5,2,49,-10
1,1,5,2,44,-10
1,1,6,0,51,-10
1,1,5,2,23,-10
1,1,1,2,61,-10
1,1,2,0,48,-10
1,1,5,0,38,-10
1,1,5,0,50,-10
1,1,5,4,36,-10
1,1,5,0,33,-10
1,1,6,0,47,-10
1,1,5,4,36,-10
1,1,5,4,36,-10
1,1,5,0,0,-10
1,1,5,0,54,-10
1,1,5,0,56,-10
1,1,2,0,-10,-10
1,1,6,0,-10,-10
1,1,6,0,48,-10
1,1,5,0,67,-10
1,1,6,0,67,-10
1,1,6,0,-10,-10
1,1,6,0,78,-10
1,1,6,0,57,-10
1,1,6,0,63,-10
1,1,6,4,53,-10
1,1,6,0,71,-10
1,1,6,0,73,-10
1,1,6,0,77,-10
1,1,1,0,6,-10
1,1,6,0,32,-10
1,1,1,0,45,-10
1,1,1,0,28,-10
1,1,6,0,2,-10
1,1,1,0,67,-10
1,1,6,2,64,-10
1,1,6,2,64,-10
1,1,1,0,65,-10
1,1,1,2,77,-10
1,1,1,2,77,-10
