cell_number,count(*)
1301,237
"1321 N 1",36
"1411 H",1
"22 Rv 1",2103
"600 MPE",9
"833 KE",5
"8505 C",5
"A 172",274
"A 2058",137
"A 2780",822
"A 375",496
"A 431",1303
"A 549",12622
"A 673",82
ACHN,151
AGS,372
ARCaP,131
"ARH 77",72
"AsPC 1",259
"AU 565",409
BeWo,100
"BICR 3",11
"BICR 56",11
"BICR 6",4
Bob,258
"BT 20",2705
"BT 474",4974
"BT 483",164
"BT 549",1771
"BxPC 3",389
"C 170",7
"C 32",58
"C 32 TG",7
"C 4",1616
"C 4 2",2640
"C 4 2 B",1442
"C 8166",6
"CA 46",55
"CA HPV 10",206
"Ca Ski",164
"CACO 2",20
"CAKI 2",3
"CALU 1",12
"CCF STTG 1",67
"CCRF CEM",190
"CCRF HSB 2",10
"CFPAC 1",52
"CHP 134",8
"COLO 201",5
"COLO 205",27
"COLO 206 F",1
"COLO 320 DM",9
"COLO 679",1
"COR L 23",10
"COR L 23/R",3
"COR L 24",3
"COR L 47",2
"COR L 88",8
"COV 434",1
DAUDI,28
"DBTRG 05 MG",19
"Detroit 562",22
"DLD 1",593
"DMS 273",20
"DMS 454",2
"DMS 53",96
"DMS 79",4
"DU 145",20513
"EB 3",201
"EJ 138",11
"EoL 1",3
"Evsa T",71
"F 36 P",47
"FLYA 13",4
"FLYRD 18",28
"FTC 133",4
"FTC 236",3
"FTC 238",2
"G 361",59
"G 401",37
"GR M",51
"H 103",3
"H 157",364
"H 357",76
"H 376",2
"H 400",2
"H 69",393
"H EMC SS",1
"HCA 2",30
"HCA 7",18
"HCC 1008",7
"HCC 1143",252
"HCC 1187",182
"HCC 1395",74
"HCC 1419",77
"HCC 1428",188
"HCC 1500",149
"HCC 1569",111
"HCC 1599",174
"HCC 1806",265
"HCC 1937",2182
"HCC 1954",1162
"HCC 202",178
"HCC 2157",44
"HCC 2218",77
"HCC 38",130
"HCC 70",140
"HCT 116",2768
"HCT 15",264
"HCT 8",125
HeLa,8336
"Hep G 2",3423
HEPM,6
"HGC 27",51
"HL 60",3267
"HR 5",24
"HRA 19 a 1 1",2
"Hs 578 T",1901
"HT 1080",1010
"HT 115",43
"HT 1197",48
"HT 1376",40
"HT 29",3175
"HT 55",1
"HUT 78",31
"IMR 32",144
"IOWA 1 T",7
Ishikawa,1251
"J 45 01",26
"JEG 3",350
JIII,1
JIYOYE,2
"JU 77",2
"JVM 2",5
"K 1",694
"K 562",4717
"KARPAS 422",1
"KATO III",67
KELLY,40
"KG 1",462
"KG 1 a",805
"KU 812",34
"KYSE 150",7
"KYSE 30",13
"KYSE 410",5
"KYSE 70",7
"LA N 1",12
"LACP 4",4
"LAPC 3",11
"LAPC 4",1173
"LC 2/ad",10
"LIM 1215",11
LNCaP,41420
"LO 68",2
LoVo,446
"LS 174 T",394
"LS 180",25
"LUDLU 1",61
"MB 157",13
"MC 116",1
"MCC 13",1
"MCF 7",117502
"MDA MB 134 VI",46
"MDA MB 157",433
"MDA MB 175 VII",60
"MDA MB 231",44686
"MDA MB 330",14
"MDA MB 453",2041
"MDA PCa 2 a",18
"MDA PCa 2 b",133
"MEG 01",85
"Mero 14",45
"MES SA",60
MEWO,7
"MFE 280",14
"MFE 296",17
"MFM 223",260
"MIA Pa Ca 2",161
"MKL 1",28
"ML 1",73
"MM 127",5
"MM 138",3
"MM 415",2
"MOLT 3",12
"MOLT 4",132
MOR,446
Namalwa,95
"NB 69",9
"NCI H 292",34
"NCI H 322",47
"NCI H 358",136
"NCI H 510 A",25
"NCI H 727",44
"NCI H 929",71
"NTERA 2",560
"OAW 42",5
"OE 19",1
"OE 21",14
"OE 33",74
"ONE 58",2
"P 3 HR 1",69
"P 69 SV 40 T",41
"PA 1",312
"PANC 1",610
"PC 14",149
"PC 3",45440
"PEA 1",32
"PEA 2",26
"PEO 1",22
"PEO 14",10
"PEO 23",13
"PEO 4",58
"PEO 6",3
"PNT 1 A",343
"PSN 1",44
"PWR 1 E",359
"PZ HPV 7",240
"QIMR WIL",1
RAJI,23
RAMOS,9
"RCC 4",84
RD,4731
"Ri 1",2
"RPMI 2650",5
"RPMI 8226",122
"RPMI 8866",4
"RWPE 1",2036
"RWPE 2",172
"SCC 9",181
"Sci 1",3
SerBob,4
"SH SY 5 Y",1021
"Shmac 5",2
"SHP 77",7
"SK HEP 1",55
"SK MES 1",249
"SK N AS",68
"SK N DZ",36
"SK N F 1",1
"SK N SH",294
"SK OV 3",1616
"SK PN DW",9
"SkBr 3",324
"SNU C 2 B",1
"SUP T 1",4
SVCT,7
"SW 1116",38
"SW 13",95
"SW 1417",4
"SW 1463",4
"SW 403",32
"SW 48",64
"SW 480",1095
"SW 620",770
"SW 626",7
"SW 837",23
"SW 948",29
"T 47 D",17783
"T 84",98
"T 98 G",277
"TF 1",813
"THP 1",1314
TT,3586
"U 266 B 1",10
"U 373 MG",160
"U 87 MG",864
"UACC 2648",1
"UACC 3133",2
"UACC 3199",19
"UACC 812",210
"UACC 893",101
"UM RC 2",1
"UM RC 3",1
"UM UC 1",1
"UM UC 14",1
"UM UC 9",1
"VA ES BJ",11
VCaP,1461
"VP 229",6
"VP 267",4
"VP 303",2
WERI,3
"WM 115",65
"WM 266 4",22
"WPE 1 NA 22",41
"WPE 1 NB 11",79
"WPE 1 NB 14",87
"WPE 1 NB 26",111
"WPE int",68
"WPE stem",93
"WPMY 1",134
"WRL 68",13
"Y 79",232
"ZR 75 1",4440
"ZR 75 30",278
