cell_number,count(*)
1301,8228
"1321 N 1",688
"1411 H",6
"22 Rv 1",771
"59 M",14
"600 MPE",30
"8505 C",16
"A 172",1360
"A 2058",1154
"A 2780",3038
"A 375",5075
"A 431",11509
"A 549",33036
"A 673",909
"A 704",194
ACHN,2144
AGS,4340
ARCaP,2
"ARH 77",657
"AsPC 1",1130
"AU 565",246
BeWo,415
"BICR 3",1
"BICR 56",1
"BICR 6",1
Bob,1038
"BT 20",2044
"BT 474",5017
"BT 483",585
"BT 549",1640
"BxPC 3",3184
"C 170",566
"C 32",3005
"C 32 TG",8
"C 4",74974
"C 4 2",1639
"C 4 2 B",226
"C 4 I",50
"C 4 II",17
"C 8166",430
"CA 46",383
"CA HPV 10",21
"Ca Ski",767
"CACO 2",374
"CAKI 2",26
"CALU 1",112
"CCF STTG 1",124
"CCRF CEM",3857
"CCRF HSB 2",120
"CFPAC 1",636
"ChaGo K 1",35
"CHP 134",112
"COLO 201",55
"COLO 205",782
"COLO 206 F",39
"COLO 320 DM",44
"COLO 320 HSR",12
"COLO 679",2
"COR L 23",65
"COR L 23/R",12
"COR L 24",1
"COV 434",27
DAUDI,152
"DBTRG 05 MG",113
"Detroit 562",66
"DLD 1",2647
"DMS 153",108
"DMS 273",30
"DMS 53",91
"DMS 79",107
"DU 145",12454
"EB 3",506
"EJ 138",21
"EoL 1",31
"Evsa T",4
"F 36 P",2
"FLYA 13",40
"FLYRD 18",18
"FTC 133",72
"FTC 236",1
"FTC 238",14
"G 361",1443
"G 401",170
"G 402",77
"GR M",280
"H 103",250
"H 157",367
"H 357",35
"H 376",54
"H 400",69
"H 69",753
"H EMC SS",2
"HCA 2",77
"HCA 7",56
"HCC 1008",13
"HCC 1143",200
"HCC 1187",102
"HCC 1395",31
"HCC 1419",29
"HCC 1428",66
"HCC 1500",44
"HCC 1569",84
"HCC 1599",96
"HCC 1806",35
"HCC 1937",470
"HCC 1954",558
"HCC 202",84
"HCC 2157",10
"HCC 2218",30
"HCC 38",106
"HCC 70",57
"HCT 116",14279
"HCT 15",2199
"HCT 8",857
"HEL 92 1 7",126
HeLa,73564
"HeLa 229",39
"HeLa B",25
"Hep G 2",21663
HEPM,101
"HGC 27",24
"HL 60",22644
"HR 5",516
"Hs 578 T",1116
"HT 1080",7550
"HT 115",207
"HT 1197",211
"HT 1376",476
"HT 29",18564
"HT 55",43
"HUT 78",711
"IMR 32",2688
Ishikawa,9081
"J 45 01",29
"JEG 3",725
JIII,2
JIYOYE,21
"Jurkat E 6 1",2
"JVM 2",52
"K 1",18414
"K 562",18747
"KARPAS 422",51
"KATO III",239
KELLY,83
"KG 1",2119
"KG 1 a",919
"KU 812",799
"KYSE 150",62
"KYSE 30",21
"KYSE 410",6
"KYSE 70",18
"LA N 1",404
"LACP 4",41
"LAPC 3",166
"LAPC 4",3533
"LC 2/ad",17
"LIM 1215",152
LNCaP,20023
"LNCaP C 4",4
"LNCaP FGC",153
LoVo,1568
"LS 174 T",2485
"LS 180",656
"LUDLU 1",1
"MB 157",5
"MC 116",143
"MCC 13",8
"MCF 7",43227
"MDA MB 134 VI",31
"MDA MB 157",292
"MDA MB 175 VII",107
"MDA MB 231",15559
"MDA MB 330",43
"MDA MB 453",1910
"MDA PCa 2 a",1
"MDA PCa 2 b",34
"MEG 01",332
"Mero 14",2
"MES SA",1294
MEWO,33
"MFE 280",68
"MFE 296",17
"MFM 223",25
"MIA Pa Ca 2",508
"MKL 1",320
"ML 1",960
"MM 127",6
"MM 138",6
"MOLT 3",394
"MOLT 4",3205
MOR,2581
Namalwa,2644
"NB 69",28
"NCI H 292",2169
"NCI H 322",75
"NCI H 358",592
"NCI H 510 A",47
"NCI H 727",32
"NCI H 929",556
"NH 17",34
"NO 36",63
"NTERA 2",359
"OAW 42",45
"OE 19",97
"OE 21",139
"OE 33",62
"P 3 HR 1",293
"P 69 SV 40 T",41
"PA 1",2809
"PANC 1",3045
"PC 14",164
"PC 3",28820
"PEA 1",45
"PEA 2",47
"PEO 1",210
"PEO 14",2
"PEO 4",308
"PEO 6",35
"PNT 1 A",36
"PSN 1",271
"PWR 1 E",30
"PZ HPV 7",118
"QIMR WIL",5
RAJI,921
RAMOS,620
"RCC 4",298
RD,13145
"Ri 1",147
"RO 82 W 1",5
"RPMI 2650",23
"RPMI 8226",1993
"RPMI 8866",289
"RWPE 1",309
"RWPE 2",70
"SCC 9",214
"Sci 1",4
"SH SY 5 Y",4674
"SHP 77",804
"SK HEP 1",268
"SK MES 1",645
"SK N AS",612
"SK N DZ",403
"SK N F 1",158
"SK N SH",1483
"SK OV 3",7933
"SK PN DW",11
"SkBr 3",211
"SNU C 2 B",19
"SUP T 1",217
SVCT,10
"SW 1116",605
"SW 13",537
"SW 1417",132
"SW 1463",206
"SW 403",227
"SW 48",396
"SW 480",6291
"SW 620",3572
"SW 626",186
"SW 837",224
"SW 948",402
"T 47 D",9345
"T 47 D KBluc",7
"T 84",3004
"T 98 G",1646
"TF 1",6065
"THP 1",16352
"TO 14",2
TT,17330
"U 266 B 1",123
"U 373 MG",640
"U 87 MG",6132
"UACC 812",68
"UACC 893",40
"UM RC 2",76
"UM RC 3",72
"UM UC 1",1
"UM UC 14",119
"UM UC 9",15
"VA ES BJ",4
VCaP,753
WERI,23
"WM 115",298
"WM 266 4",347
"WPE 1 NA 22",5
"WPMY 1",5
"WRL 68",84
"Y 79",749
"ZR 75 1",2684
"ZR 75 30",244
