year,Contaminated,count(*)
1970,0,15108
1970,1,671
1971,0,31051
1971,1,469
1972,0,39906
1972,1,719
1973,0,58022
1973,1,1025
1974,0,59225
1974,1,1566
1975,0,57446
1975,1,1395
1976,0,85134
1976,1,2248
1977,0,74513
1977,1,4836
1978,0,96168
1978,1,4211
1979,0,134941
1979,1,2871
1980,0,75985
1980,1,3209
1981,0,117388
1981,1,11554
1982,0,132349
1982,1,9437
1983,0,168748
1983,1,18689
1984,0,155017
1984,1,14922
1985,0,332026
1985,1,26733
1986,0,274031
1986,1,17490
1987,0,331494
1987,1,22380
1988,0,294334
1988,1,26468
1989,0,306033
1989,1,27975
1990,0,371271
1990,1,38548
1991,0,434640
1991,1,38852
1992,0,311608
1992,1,28700
1993,0,248802
1993,1,23447
1994,0,288676
1994,1,27319
1995,0,239866
1995,1,54447
1996,0,231475
1996,1,36121
1997,0,222383
1997,1,44983
1998,0,185333
1998,1,45021
1999,0,209585
1999,1,42706
2000,0,253930
2000,1,53605
2001,0,235304
2001,1,47994
2002,0,335247
2002,1,68568
2003,0,548959
2003,1,99431
2004,0,941844
2004,1,123459
2005,0,1284240
2005,1,158411
2006,0,1338647
2006,1,180178
2007,0,1435743
2007,1,189607
2008,0,1629401
2008,1,186265
2009,0,1678641
2009,1,199898
2010,0,1754186
2010,1,208555
2011,0,1804821
2011,1,176674
2012,0,1988027
2012,1,200774
2013,0,2088656
2013,1,185136
2014,0,3011302
2014,1,233925
2015,0,3358823
2015,1,291079
2016,0,2791787
2016,1,285964
