Gen,Eth,Dis,year,count(*)
1,2,1,1970,7911
1,5,1,1970,21
1,6,1,1970,13
2,1,1,1970,6
2,2,1,1970,51
2,5,1,1970,107
2,6,1,1970,105
2,6,4,1970,3
3,6,1,1970,96
3,6,4,1970,31
1,1,1,1971,13
1,2,1,1971,12312
1,5,1,1971,22
1,6,1,1971,8
2,1,1,1971,4
2,2,1,1971,20
2,5,1,1971,214
2,5,4,1971,38
2,6,1,1971,146
2,6,4,1971,1
3,6,1,1971,115
3,6,4,1971,27
1,1,1,1972,7
1,2,1,1972,14502
1,5,1,1972,42
1,5,4,1972,1
1,6,1,1972,110
2,1,1,1972,2
2,2,1,1972,8
2,5,1,1972,195
2,5,4,1972,88
2,6,1,1972,305
2,6,4,1972,4
3,6,1,1972,117
3,6,4,1972,8
1,1,1,1973,6
1,2,1,1973,14742
1,5,1,1973,87
1,5,4,1973,30
1,6,1,1973,53
2,1,1,1973,3
2,2,1,1973,19
2,5,1,1973,170
2,5,4,1973,30
2,6,1,1973,193
2,6,4,1973,25
3,6,1,1973,189
3,6,4,1973,99
1,1,1,1974,5
1,2,1,1974,20115
1,5,1,1974,130
1,6,1,1974,114
2,1,1,1974,65
2,2,1,1974,70
2,5,1,1974,264
2,5,4,1974,59
2,6,1,1974,258
2,6,4,1974,15
3,1,1,1974,12
3,6,1,1974,213
3,6,4,1974,122
1,1,1,1975,18
1,2,1,1975,15066
1,5,1,1975,89
1,5,2,1975,1
1,6,1,1975,204
2,1,4,1975,1
2,2,1,1975,43
2,5,1,1975,419
2,5,4,1975,54
2,6,1,1975,329
2,6,4,1975,5
3,6,1,1975,390
3,6,4,1975,84
1,1,1,1976,18
1,2,1,1976,23357
1,5,1,1976,46
1,5,2,1976,8
1,6,1,1976,357
2,1,1,1976,86
2,2,1,1976,18
2,5,1,1976,486
2,5,4,1976,21
2,6,1,1976,474
2,6,4,1976,17
3,1,1,1976,6
3,1,4,1976,5
3,6,1,1976,459
3,6,4,1976,165
1,1,1,1977,30
1,2,1,1977,17469
1,5,1,1977,55
1,5,4,1977,3
1,6,1,1977,730
2,1,1,1977,20
2,1,4,1977,3
2,2,1,1977,60
2,5,1,1977,685
2,5,4,1977,30
2,6,1,1977,583
2,6,4,1977,8
3,1,1,1977,37
3,6,1,1977,401
3,6,4,1977,189
1,1,1,1978,63
1,2,1,1978,26487
1,5,1,1978,244
1,5,2,1978,3
1,5,4,1978,25
1,6,1,1978,460
2,1,1,1978,37
2,1,4,1978,12
2,2,1,1978,80
2,5,1,1978,610
2,5,4,1978,377
2,6,1,1978,520
2,6,4,1978,24
3,6,1,1978,528
3,6,4,1978,217
1,1,1,1979,18
1,2,1,1979,27594
1,2,2,1979,2
1,5,1,1979,292
1,5,2,1979,67
1,5,4,1979,103
1,6,1,1979,860
2,1,1,1979,33
2,1,4,1979,3
2,2,1,1979,165
2,2,4,1979,1
2,5,1,1979,967
2,5,3,1979,9
2,5,4,1979,343
2,6,1,1979,682
2,6,4,1979,11
3,6,1,1979,926
3,6,4,1979,202
1,1,1,1980,28
1,2,1,1980,16193
1,5,1,1980,2389
1,5,2,1980,87
1,5,4,1980,99
1,6,1,1980,690
2,1,1,1980,14
2,1,4,1980,1
2,2,1,1980,50
2,5,1,1980,508
2,5,3,1980,3
2,5,4,1980,105
2,6,1,1980,436
2,6,4,1980,22
3,1,1,1980,2
3,1,4,1980,2
3,6,1,1980,714
3,6,2,1980,2
3,6,4,1980,171
1,1,1,1981,18
1,2,1,1981,20898
1,5,1,1981,2292
1,5,2,1981,45
1,5,4,1981,92
1,6,1,1981,903
1,6,2,1981,1
1,6,4,1981,4
2,1,1,1981,36
2,1,4,1981,2
2,2,1,1981,190
2,5,1,1981,1741
2,5,4,1981,114
2,6,1,1981,626
2,6,4,1981,10
3,1,1,1981,33
3,6,1,1981,832
3,6,4,1981,245
1,1,1,1982,86
1,2,1,1982,19035
1,5,1,1982,3918
1,5,2,1982,44
1,5,4,1982,137
1,6,1,1982,1061
2,1,1,1982,280
2,1,4,1982,3
2,2,1,1982,363
2,2,4,1982,6
2,5,1,1982,1965
2,5,4,1982,304
2,6,1,1982,1092
2,6,4,1982,13
3,1,1,1982,2
3,6,1,1982,1168
3,6,4,1982,235
1,1,1,1983,27
1,2,1,1983,25789
1,5,1,1983,7133
1,5,2,1983,105
1,5,4,1983,113
1,6,1,1983,1769
1,6,2,1983,7
2,1,1,1983,154
2,1,4,1983,2
2,2,1,1983,183
2,2,4,1983,1
2,5,1,1983,3255
2,5,3,1983,10
2,5,4,1983,321
2,6,1,1983,1261
2,6,4,1983,6
3,1,1,1983,1
3,1,4,1983,1
3,6,1,1983,1391
3,6,2,1983,2
3,6,4,1983,369
1,1,1,1984,40
1,2,1,1984,15316
1,5,1,1984,8355
1,5,2,1984,88
1,5,4,1984,71
1,6,1,1984,1498
1,6,2,1984,2
2,1,1,1984,362
2,1,4,1984,12
2,2,1,1984,129
2,5,1,1984,3821
2,5,3,1984,2
2,5,4,1984,581
2,6,1,1984,1338
2,6,4,1984,44
3,1,1,1984,16
3,6,1,1984,1517
3,6,4,1984,425
1,1,1,1985,50
1,2,1,1985,17821
1,2,2,1985,1
1,5,1,1985,14611
1,5,2,1985,58
1,5,4,1985,68
1,6,1,1985,2405
1,6,2,1985,4
1,6,4,1985,2
2,1,1,1985,246
2,1,4,1985,7
2,2,1,1985,252
2,2,4,1985,1
2,5,1,1985,5468
2,5,3,1985,2
2,5,4,1985,672
2,6,1,1985,2221
2,6,4,1985,20
3,6,1,1985,1916
3,6,2,1985,27
3,6,4,1985,325
1,1,1,1986,65
1,2,1,1986,23679
1,2,2,1986,4
1,5,1,1986,15204
1,5,2,1986,206
1,5,4,1986,88
1,6,1,1986,2362
2,1,1,1986,546
2,2,1,1986,316
2,2,4,1986,25
2,5,1,1986,6429
2,5,3,1986,10
2,5,4,1986,1114
2,6,1,1986,2619
2,6,4,1986,143
3,1,1,1986,53
3,1,4,1986,19
3,6,1,1986,2156
3,6,2,1986,2
3,6,4,1986,300
1,1,1,1987,83
1,2,1,1987,27465
1,2,2,1987,2
1,2,4,1987,1
1,5,1,1987,16322
1,5,2,1987,274
1,5,4,1987,132
1,6,1,1987,2269
1,6,2,1987,11
1,6,4,1987,3
2,1,1,1987,344
2,1,4,1987,4
2,2,1,1987,213
2,5,1,1987,6920
2,5,3,1987,2
2,5,4,1987,758
2,6,1,1987,4079
2,6,4,1987,20
3,1,1,1987,2
3,1,4,1987,5
3,6,1,1987,2309
3,6,4,1987,446
1,1,1,1988,38
1,2,1,1988,30132
1,2,2,1988,1
1,5,1,1988,9831
1,5,2,1988,162
1,5,4,1988,95
1,6,1,1988,1643
1,6,2,1988,21
2,1,1,1988,250
2,1,4,1988,2
2,2,1,1988,216
2,5,1,1988,8317
2,5,3,1988,11
2,5,4,1988,680
2,6,1,1988,2861
2,6,4,1988,9
3,1,1,1988,2
3,1,4,1988,113
3,5,4,1988,6
3,6,1,1988,2295
3,6,2,1988,34
3,6,4,1988,366
1,1,1,1989,63
