year,Contaminated,count(*)
1970,0,15081
1970,1,671
1971,0,30856
1971,1,469
1972,0,39903
1972,1,719
1973,0,57938
1973,1,1023
1974,0,58922
1974,1,1566
1975,0,57309
1975,1,1394
1976,0,85053
1976,1,2248
1977,0,74444
1977,1,4836
1978,0,96154
1978,1,4211
1979,0,134810
1979,1,2864
1980,0,75675
1980,1,3209
1981,0,117263
1981,1,11526
1982,0,132167
1982,1,9427
1983,0,168620
1983,1,18689
1984,0,154733
1984,1,14910
1985,0,331737
1985,1,26721
1986,0,273634
1986,1,17449
1987,0,331116
1987,1,22354
1988,0,293987
1988,1,26439
1989,0,305705
1989,1,27938
1990,0,370624
1990,1,38539
1991,0,434048
1991,1,38826
1992,0,311244
1992,1,28682
1993,0,248445
1993,1,23447
1994,0,288216
1994,1,27297
1995,0,239665
1995,1,54390
1996,0,231006
1996,1,36004
1997,0,212768
1997,1,43082
1998,0,176425
1998,1,43484
1999,0,198128
1999,1,39725
2000,0,243247
2000,1,52173
2001,0,224556
2001,1,46235
2002,0,327058
2002,1,65723
2003,0,535288
2003,1,96745
2004,0,921789
2004,1,119894
2005,0,1242006
2005,1,151775
2006,0,1286986
2006,1,174254
2007,0,1356038
2007,1,180648
2008,0,1511518
2008,1,175330
2009,0,1484141
2009,1,179648
2010,0,1481877
2010,1,184167
2011,0,1503393
2011,1,147111
2012,0,1587031
2012,1,160948
2013,0,1615886
2013,1,145088
2014,0,2886945
2014,1,223185
2015,0,3358823
2015,1,291079
2016,0,2791787
2016,1,285964
