year,count,,journal,count,,MeSH super-term,count
1966,3,,Blood,8425,, Stem Cells                                 ,44764
1967,1,,Bone marrow transplantation,6513,, Hematopoietic Stem Cells                   ,36277
1968,3,,"Stem cells (Dayton, Ohio)",3790,, Hematopoietic Stem Cell Transplantation    ,28126
1969,5,,Experimental hematology,3383,, Stem Cell Transplantation                  ,17020
1970,30,,PloS one,3098,, Embryonic Stem Cells                       ,12378
1971,141,,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,2448,, Neoplastic Stem Cells                      ,11096
1972,229,,Proceedings of the National Academy of Sciences of the United States of America,2432,, Mesenchymal Stem Cell Transplantation      ,5402
1973,238,,British journal of haematology,2321,, Pluripotent Stem Cells                     ,4892
1974,253,,Nature,1972,, Tumor Stem Cell Assay                      ,4259
1975,249,,"Journal of immunology (Baltimore, Md. : 1950)",1868,, Neural Stem Cells                          ,3883
1976,251,,Leukemia,1836,, Stem Cell Factor                           ,3854
1977,252,,Stem cells and development,1758,, Hematopoietic Stem Cell Mobilization       ,3388
1978,312,,Haematologica,1556,, Induced Pluripotent Stem Cells             ,3099
1979,427,,"Development (Cambridge, England)",1528,, Adult Stem Cells                           ,3043
1980,478,,"Methods in molecular biology (Clifton, N.J.)",1507,, Peripheral Blood Stem Cell Transplantation ,2880
1981,501,,"Science (New York, N.Y.)",1371,, Multipotent Stem Cells                     ,2351
1982,694,,Cancer research,1343,, Cord Blood Stem Cell Transplantation       ,2204
1983,800,,Cell stem cell,1336,, Stem Cell Niche                            ,1410
1984,1292,,Leukemia & lymphoma,1314,, Embryonal Carcinoma Stem Cells             ,836
1985,1513,,The Journal of biological chemistry,1203,, Stem Cell Research                         ,667
1986,1320,,Biochemical and biophysical research communications,1190,, Fetal Stem Cells                           ,328
1987,1349,,Cytotherapy,1112,, Totipotent Stem Cells                      ,207
1988,1398,,Developmental biology,1027,,,
1989,1587,,The Journal of neuroscience : the official journal of the Society for Neuroscience,932,,,
1990,1519,,International journal of hematology,914,,,
1991,1645,,Cell transplantation,907,,,
1992,1874,,The Journal of experimental medicine,894,,,
1993,2212,,Leukemia research,889,,,
1994,2436,,Transfusion,886,,,
1995,2948,,Cell,873,,,
1996,3346,,The Journal of clinical investigation,868,,,
1997,3378,,Transplantation,837,,,
1998,3705,,Biomaterials,824,,,
1999,4297,,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,814,,,
2000,4771,,Journal of cellular physiology,766,,,
2001,5221,,Annals of the New York Academy of Sciences,753,,,
2002,6071,,Stem cell reviews,734,,,
2003,6509,,Transplantation proceedings,728,,,
2004,7085,,Oncogene,706,,,
2005,8086,,Annals of hematology,691,,,
2006,9096,,[Rinshō ketsueki] The Japanese journal of clinical hematology,683,,,
2007,9884,,Journal of neuroscience research,682,,,
2008,11523,,Molecular and cellular biology,680,,,
2009,11716,,Zhongguo shi yan xue ye xue za zhi / Zhongguo bing li sheng li xue hui = Journal of experimental hematology / Chinese Association of Pathophysiology,656,,,
2010,13457,,Experimental cell research,652,,,
2011,14453,,American journal of hematology,646,,,
2012,15452,,European journal of haematology,630,,,
2013,16013,,"Cell cycle (Georgetown, Tex.)",615,,,
2014,5839,,Regenerative medicine,603,,,
,,,Nature medicine,591,,,
,,,Circulation research,587,,,
,,,The New England journal of medicine,558,,,
,,,Molecular therapy : the journal of the American Society of Gene Therapy,523,,,
,,,Circulation,510,,,
,,,Nature biotechnology,499,,,
,,,Advances in experimental medicine and biology,496,,,
,,,Tissue engineering. Part A,496,,,
,,,Experimental neurology,494,,,
,,,Lancet,480,,,
,,,Current stem cell research & therapy,479,,,
,,,Journal of cellular biochemistry,470,,,
,,,Journal of hematotherapy & stem cell research,465,,,
,,,The EMBO journal,465,,,
,,,Genes & development,460,,,
,,,Journal of hematotherapy,450,,,
,,,Acta haematologica,442,,,
,,,Progress in clinical and biological research,431,,,
,,,Brain research,428,,,
,,,Clinical cancer research : an official journal of the American Association for Cancer Research,421,,,
,,,Current opinion in hematology,417,,,
,,,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,417,,,
,,,British journal of cancer,415,,,
,,,Glia,407,,,
,,,Stem cells translational medicine,407,,,
,,,Pediatric blood & cancer,403,,,
,,,Human gene therapy,394,,,
,,,European journal of immunology,390,,,
,,,Neuroscience letters,386,,,
,,,Gene therapy,381,,,
,,,Journal of cell science,379,,,
,,,Journal of cellular and molecular medicine,379,,,
,,,The European journal of neuroscience,376,,,
,,,The American journal of pathology,374,,,
,,,Stem cell research,371,,,
,,,The Journal of cell biology,368,,,
,,,Nihon rinsho. Japanese journal of clinical medicine,362,,,
,,,Cancer,361,,,
,,,International journal of cancer. Journal international du cancer,359,,,
,,,Differentiation; research in biological diversity,354,,,
,,,Annals of oncology : official journal of the European Society for Medical Oncology / ESMO,352,,,
,,,Neuron,350,,,
,,,Anticancer research,346,,,
,,,Developmental dynamics : an official publication of the American Association of Anatomists,345,,,
,,,Pediatric transplantation,343,,,
,,,Developmental cell,339,,,
,,,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,336,,,
,,,"Arteriosclerosis, thrombosis, and vascular biology",329,,,
,,,The International journal of developmental biology,328,,,
,,,Nature cell biology,327,,,
,,,Journal of pediatric hematology/oncology,326,,,
,,,Molecular and cellular neurosciences,325,,,
,,,"International journal of radiation oncology, biology, physics",323,,,
,,,Zhonghua yi xue za zhi,318,,,
,,,Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,316,,,
,,,Nucleic acids research,315,,,
,,,Bulletin of experimental biology and medicine,314,,,
,,,Expert opinion on biological therapy,314,,,
,,,Medical hypotheses,313,,,
,,,Journal of neurochemistry,311,,,
,,,Neuroscience,306,,,
,,,Cancer letters,304,,,
,,,Cell and tissue research,304,,,
,,,Biochimica et biophysica acta,299,,,
,,,Investigative ophthalmology & visual science,294,,,
,,,Biology of reproduction,293,,,
,,,Journal of the National Cancer Institute,293,,,
,,,Cell proliferation,291,,,
,,,Cell research,288,,,
,,,Radiation research,277,,,
,,,Journal of leukocyte biology,267,,,
,,,Seminars in hematology,267,,,
,,,"Hepatology (Baltimore, Md.)",260,,,
,,,Nature neuroscience,258,,,
,,,Cell biology international,257,,,
,,,The Journal of comparative neurology,255,,,
,,,Immunity,254,,,
,,,Journal of virology,253,,,
,,,Médecine sciences : M/S,251,,,
,,,The Journal of investigative dermatology,250,,,
,,,Best practice & research. Clinical haematology,249,,,
,,,Gan to kagaku ryoho. Cancer & chemotherapy,248,,,
,,,Cardiovascular research,246,,,
,,,Endocrinology,246,,,
,,,"Blood cells, molecules & diseases",243,,,
,,,Chinese medical journal,243,,,
,,,Journal of visualized experiments : JoVE,242,,,
,,,"European journal of cancer (Oxford, England : 1990)",241,,,
,,,Gastroenterology,241,,,
,,,Biulleten' eksperimental'noĭ biologii i meditsiny,238,,,
,,,Current biology : CB,238,,,
,,,Neuroreport,238,,,
,,,Journal of clinical apheresis,236,,,
,,,Cellular immunology,233,,,
,,,The Journal of pathology,233,,,
,,,Nature genetics,229,,,
,,,Human molecular genetics,224,,,
,,,Seminars in oncology,220,,,
,,,Transplant infectious disease : an official journal of the Transplantation Society,220,,,
,,,International journal of cell cloning,217,,,
,,,Blood cells,216,,,
,,,Journal of molecular and cellular cardiology,216,,,
,,,Cancer chemotherapy and pharmacology,210,,,
,,,Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery,210,,,
,,,Hematology / the Education Program of the American Society of Hematology. American Society of Hematology. Education Program,208,,,
,,,International journal of cardiology,207,,,
,,,In vitro cellular & developmental biology. Animal,206,,,
,,,Cell and tissue kinetics,202,,,
,,,Methods in enzymology,200,,,
,,,Cancer cell,199,,,
,,,Reproductive biomedicine online,199,,,
,,,Radiobiologiia,192,,,
,,,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,191,,,
,,,FEBS letters,190,,,
,,,Cellular and molecular life sciences : CMLS,188,,,
,,,Journal of biomedical materials research. Part A,188,,,
,,,International journal of oncology,186,,,
,,,Current protocols in stem cell biology,182,,,
,,,Bone,179,,,
,,,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,179,,,
,,,"BioEssays : news and reviews in molecular, cellular and developmental biology",177,,,
,,,Cell death and differentiation,176,,,
,,,"Cells, tissues, organs",176,,,
,,,"Human reproduction (Oxford, England)",176,,,
,,,Stem cell research & therapy,176,,,
,,,International journal of radiation biology,174,,,
,,,Nature methods,174,,,
,,,Nature protocols,174,,,
,,,Cold Spring Harbor symposia on quantitative biology,173,,,
,,,Oncology reports,173,,,
,,,JAMA,172,,,
,,,Cellular reprogramming,171,,,
,,,Mechanisms of development,168,,,
,,,Tissue engineering,168,,,
,,,Current opinion in genetics & development,167,,,
,,,Plastic and reconstructive surgery,167,,,
,,,Tsitologiia,167,,,
,,,Sangre,166,,,
,,,International immunology,165,,,
,,,Vox sanguinis,165,,,
,,,Journal of tissue engineering and regenerative medicine,164,,,
,,,Current opinion in oncology,163,,,
,,,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,162,,,
,,,Cloning and stem cells,162,,,
,,,Nihon Naika Gakkai zasshi. The Journal of the Japanese Society of Internal Medicine,162,,,
,,,Current topics in microbiology and immunology,161,,,
,,,International journal of molecular medicine,161,,,
,,,"Tanpakushitsu kakusan koso. Protein, nucleic acid, enzyme",160,,,
,,,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,159,,,
,,,Current pharmaceutical design,158,,,
,,,Neurosurgery,157,,,
,,,PLoS genetics,156,,,
,,,BMJ (Clinical research ed.),155,,,
,,,The Journal of surgical research,155,,,
,,,Tissue antigens,155,,,
,,,"Hematology (Amsterdam, Netherlands)",153,,,
,,,Molecular reproduction and development,153,,,
,,,Journal of immunological methods,152,,,
,,,"Genesis (New York, N.Y. : 2000)",150,,,
,,,Journal of cardiovascular translational research,150,,,
,,,Journal of the American College of Cardiology,150,,,
,,,Laboratory investigation; a journal of technical methods and pathology,150,,,
,,,World journal of gastroenterology : WJG,148,,,
,,,Developmental neuroscience,146,,,
,,,The American journal of bioethics : AJOB,146,,,
,,,Nature immunology,144,,,
,,,"Tissue engineering. Part C, Methods",143,,,
,,,Deutsche medizinische Wochenschrift (1946),141,,,
,,,American journal of physiology. Heart and circulatory physiology,140,,,
,,,Cancer treatment and research,140,,,
,,,Pediatric research,140,,,
,,,Cornea,137,,,
,,,The international journal of biochemistry & cell biology,137,,,
,,,Nan fang yi ke da xue xue bao = Journal of Southern Medical University,136,,,
,,,Arthritis and rheumatism,134,,,
,,,Cell reports,134,,,
,,,Journal of neuro-oncology,134,,,
,,,Seminars in cell & developmental biology,134,,,
,,,Blut,133,,,
,,,EMBO reports,133,,,
,,,Fertility and sterility,133,,,
,,,"Development, growth & differentiation",132,,,
,,,Neoplasma,129,,,
,,,Current opinion in immunology,128,,,
,,,The Journal of allergy and clinical immunology,128,,,
,,,Hematology/oncology clinics of North America,127,,,
,,,Journal of cancer research and clinical oncology,127,,,
,,,Zhonghua nei ke za zhi,127,,,
,,,"Experimental biology and medicine (Maywood, N.J.)",126,,,
,,,Experimental eye research,126,,,
,,,Haematology and blood transfusion,126,,,
,,,Pediatric hematology and oncology,126,,,
,,,Bulletin du cancer,125,,,
,,,Immunological reviews,125,,,
,,,Molecular and cellular biochemistry,125,,,
,,,Neurobiology of disease,125,,,
,,,Diabetes,124,,,
,,,Acta biomaterialia,123,,,
,,,Brain research. Developmental brain research,123,,,
,,,Frontiers in bioscience : a journal and virtual library,123,,,
,,,Histology and histopathology,123,,,
,,,Critical reviews in oncology/hematology,121,,,
,,,Current topics in developmental biology,121,,,
,,,Journal of translational medicine,121,,,
,,,Nouvelle revue française d'hématologie,121,,,
,,,Thrombosis and haemostasis,120,,,
,,,Clinical and experimental immunology,119,,,
,,,Gematologiia i transfuziologiia,119,,,
,,,Stroke; a journal of cerebral circulation,119,,,
,,,Biotechnology and bioengineering,118,,,
,,,Cell death & disease,118,,,
,,,Current opinion in organ transplantation,118,,,
,,,Current opinion in cell biology,117,,,
,,,"Reproduction (Cambridge, England)",117,,,
,,,Journal of the American Society of Nephrology : JASN,116,,,
,,,American journal of physiology. Cell physiology,115,,,
,,,Carcinogenesis,115,,,
,,,Journal of dental research,115,,,
,,,Journal of Korean medical science,115,,,
,,,Annals of neurology,114,,,
,,,Archivum immunologiae et therapiae experimentalis,114,,,
,,,BioMed research international,114,,,
,,,European heart journal,114,,,
,,,Folia biologica,114,,,
,,,Mutation research,114,,,
,,,PLoS biology,114,,,
,,,Terapevticheskiĭ arkhiv,114,,,
,,,Cancer science,113,,,
,,,Biomedicine & pharmacotherapy = Biomédecine & pharmacothérapie,112,,,
,,,Cancer gene therapy,112,,,
,,,Immunology,112,,,
,,,Journal of stem cells,112,,,
,,,Molecular biology of the cell,112,,,
,,,Molecular cancer therapeutics,112,,,
,,,Immunology letters,111,,,
,,,Blood reviews,110,,,
,,,Journal of hepatology,110,,,
,,,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,109,,,
,,,The Biochemical journal,109,,,
,,,Human immunology,108,,,
,,,Molecular cell,108,,,
,,,Zhonghua xin xue guan bing za zhi,108,,,
,,,Clinical transplantation,107,,,
,,,Expert review of hematology,107,,,
,,,Cytokine,106,,,
,,,Transplant immunology,106,,,
,,,Cancer biology & therapy,105,,,
,,,Journal of neuroimmunology,105,,,
,,,Ontogenez,105,,,
,,,Trends in molecular medicine,105,,,
,,,Breast cancer research : BCR,104,,,
,,,Current medicinal chemistry,104,,,
,,,Hematological oncology,104,,,
,,,Life sciences,104,,,
,,,Pathologie-biologie,104,,,
,,,Clinical orthopaedics and related research,103,,,
,,,Neurochemical research,103,,,
,,,Progress in brain research,103,,,
,,,Scandinavian journal of haematology,103,,,
,,,Transfusion clinique et biologique : journal de la Société française de transfusion sanguine,103,,,
,,,"Internal medicine (Tokyo, Japan)",102,,,
,,,International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience,102,,,
,,,Journal of neuroscience methods,102,,,
,,,Klinische Pädiatrie,102,,,
,,,"Oncology (Williston Park, N.Y.)",102,,,
,,,The hematology journal : the official journal of the European Haematology Association / EHA,102,,,
,,,Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae,102,,,
,,,Cellular and molecular neurobiology,101,,,
,,,Nature reviews. Cancer,101,,,
,,,Circulation journal : official journal of the Japanese Circulation Society,100,,,
,,,Clinical advances in hematology & oncology : H&O,100,,,
,,,Human cell,100,,,
,,,Journal of neurotrauma,100,,,
,,,BMC developmental biology,99,,,
,,,Genes to cells : devoted to molecular & cellular mechanisms,99,,,
,,,Medicina clínica,99,,,
,,,Nature communications,99,,,
,,,Scandinavian journal of immunology,99,,,
,,,Genome research,98,,,
,,,"Growth factors (Chur, Switzerland)",97,,,
,,,Scientific American,97,,,
,,,Trends in neurosciences,97,,,
,,,Neurology,96,,,
,,,Cancer investigation,95,,,
,,,Molecular and cellular endocrinology,95,,,
,,,Current hematologic malignancy reports,94,,,
,,,Current molecular medicine,94,,,
,,,Atherosclerosis,93,,,
,,,Cytometry. Part A : the journal of the International Society for Analytical Cytology,93,,,
,,,Gut,93,,,
,,,Molecular vision,93,,,
,,,Neurological research,93,,,
,,,Recent results in cancer research. Fortschritte der Krebsforschung. Progrès dans les recherches sur le cancer,93,,,
,,,American journal of respiratory and critical care medicine,92,,,
,,,Breast cancer research and treatment,92,,,
,,,"Cancer immunology, immunotherapy : CII",92,,,
,,,Investigational new drugs,92,,,
,,,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,92,,,
,,,Journal of neurosurgery,92,,,
,,,Journal of the neurological sciences,92,,,
,,,Scientific reports,92,,,
,,,The New York times on the Web,92,,,
,,,Biochemical pharmacology,91,,,
,,,BMC cancer,91,,,
,,,Brain : a journal of neurology,91,,,
,,,Aging cell,90,,,
,,,American journal of clinical pathology,90,,,
,,,Developmental neurobiology,90,,,
,,,Journal of Huazhong University of Science and Technology. Medical sciences = Hua zhong ke ji da xue xue bao. Yi xue Ying De wen ban = Huazhong keji daxue xuebao. Yixue Yingdewen ban,90,,,
,,,Molecules and cells,90,,,
,,,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",90,,,
,,,The Journal of urology,90,,,
,,,The Lancet. Oncology,90,,,
